Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2010-01-04,6.440330505371094,6.4550763032980685,6.391278025967366,6.4228762217812925,493729600
2010-01-05,6.451467514038086,6.487880807458352,6.417461362428547,6.4580882589483135,601904800
2010-01-06,6.348846435546875,6.477045280657176,6.342225692663006,6.451465539489639,552160000
2010-01-07,6.337108612060547,6.379842091769813,6.2910655648346605,6.372318521082825,477131200
2010-01-08,6.379240989685059,6.37984327724476,6.291368480282735,6.328683790652659,447610800
2010-01-11,6.322966575622559,6.409936656739424,6.2730108613843925,6.403917799170273,462229600
2010-01-12,6.251040935516357,6.312733411200337,6.211919573553115,6.295278325516592,594459600
2010-01-13,6.339215278625488,6.347641677883672,6.142102947856913,6.255555984254763,605892000
2010-01-14,6.302502155303955,6.333498868494199,6.290163899676365,6.322966270050092,432894000
2010-01-15,6.1971755027771,6.367806516336812,6.1953698453199975,6.3476433413991735,594067600
2010-01-19,6.47132682800293,6.475840970783041,6.236597430330016,6.269398995820248,730007600
2010-01-20,6.37171745300293,6.486674406258934,6.304608403474319,6.467414465836276,612152800
2010-01-21,6.261575222015381,6.419266090887947,6.235694935607777,6.3822513187179455,608154400
2010-01-22,5.951009750366211,6.244422252842924,5.933254922521883,6.222755167225841,881767600
2010-01-25,6.111106872558594,6.160158951875799,6.02443733729753,6.094254474085411,1065699600
2010-01-26,6.197476863861084,6.431304297025118,6.096362450198299,6.197777806790907,1867110000
2010-01-27,6.255857944488525,6.33711011643965,6.004575847197516,6.224861227692589,1722568400
2010-01-28,5.997352123260498,6.18423359893998,5.979597300239291,6.167080661566463,1173502400
2010-01-29,5.779775619506836,6.084924808953682,5.725306174385902,6.051220016650193,1245952400
2010-02-01,5.8601250648498535,5.898343997641952,5.756904093106256,5.789104169775881,749876400
2010-02-02,5.894131660461426,5.907975031567911,5.819499842590746,5.895636776504988,698342400
2010-02-03,5.995546817779541,6.024737871610872,5.850796525367367,5.873366836685999,615328000
2010-02-04,5.779476165771484,5.969667242555499,5.7650309076728465,5.920313414304272,757652000
2010-02-05,5.8820929527282715,5.898343863890438,5.743361536593577,5.796928551283286,850306800
2010-02-08,5.841768264770508,5.954920355107196,5.838156950905818,5.88901548424789,478270800
2010-02-09,5.904061794281006,5.9434840957257284,5.860726834641201,5.91098307689227,632886800
2010-02-10,5.871861934661865,5.916401071984377,5.845981654707534,5.8950337291294534,370361600
2010-02-11,5.978694915771484,6.011196343551841,5.839963468695428,5.864640381948894,550345600
2010-02-12,6.030154705047607,6.0680726986232685,5.883297816098785,5.961841886968793,655468800
2010-02-16,6.121038436889648,6.129765378733116,6.064462380073955,6.0771015794095895,543737600
2010-02-17,6.095459461212158,6.148423804805962,6.044600512554113,6.144812489981041,436396800
2010-02-18,6.1068949699401855,6.135785089027008,6.046406647227017,6.067772791375106,422825200
2010-02-19,6.068976402282715,6.1150198620807625,6.052124001791336,6.074694719136381,415469600
2010-02-22,6.031357765197754,6.093952666207925,5.994343003817547,6.089137982893924,390563600
2010-02-23,5.930244445800781,6.0587442399448355,5.8896183633487045,6.018719641445511,575094800
2010-02-24,6.038581848144531,6.062054588549697,5.953717163709801,5.96545393570527,460566400
2010-02-25,6.078908443450928,6.104788733027773,5.925130215329676,5.9398760177806205,665126000
2010-02-26,6.157752513885498,6.174303971386686,6.078907484030895,6.090342912295723,507460800
2010-03-01,6.289262294769287,6.304609579248749,6.182730515986428,6.191758401290746,550093600
2010-03-02,6.285048484802246,6.3446335666957125,6.251644227573834,6.317549109822682,566546400
2010-03-03,6.299492835998535,6.315743751968442,6.257663381692075,6.287756866939419,372052800
2010-03-04,6.341020107269287,6.347339905887357,6.278425212049593,6.297986895279257,366041200
2010-03-05,6.588993549346924,6.61156386308845,6.458989040418914,6.468318269506473,899620400
2010-03-08,6.5929059982299805,6.623300023987272,6.56792814077251,6.620892882719896,429889600
2010-03-09,6.711472988128662,6.771058056665906,6.557092944473806,6.569732140558554,920259200
2010-03-10,6.766244411468506,6.785504755189614,6.716891387854703,6.735850386912285,596218000
2010-03-11,6.786105155944824,6.786105155944824,6.720501625696545,6.73825725328158,405700400
2010-03-12,6.819210529327393,6.853215873199394,6.793630783453784,6.842381928305325,416323600
2010-03-15,6.736149787902832,6.786104284030633,6.628113331035812,6.782493773995126,493502800
2010-03-16,6.7545084953308105,6.770458066754067,6.6961271816734635,6.746383439070202,446908000
2010-03-17,6.744577884674072,6.814695570352755,6.7189985421454095,6.768050626934482,450956800
2010-03-18,6.760526180267334,6.771058777827615,6.699135046559087,6.7439739223481565,342109600
2010-03-19,6.688302516937256,6.778282430330894,6.657606744547779,6.764740402337453,559445600
2010-03-22,6.763537406921387,6.801154869962735,6.625106878674762,6.634737052072342,456419600
2010-03-23,6.872173309326172,6.884812908822983,6.743974068044185,6.7903184626134605,602431200
2010-03-24,6.902568340301514,6.927546195400415,6.846593773021356,6.850506431917748,597780400
2010-03-25,6.820713996887207,6.950718908748306,6.808676281829943,6.949213792573256,542284400
2010-03-26,6.948613166809082,6.980210965531149,6.8778927915812345,6.889930507429167,640875200
2010-03-29,6.993451118469238,7.037989860139587,6.970279722599785,7.011809035536611,540744400
2010-03-30,7.097574710845947,7.146627995812646,7.049424656262791,7.120145023819747,527310000
2010-03-31,7.071991920471191,7.1204432988231865,7.055741816430424,7.086738516220975,430659600
2010-04-01,7.101187705993652,7.184245545236783,7.0042864917503636,7.144522685016904,603145200
2010-04-05,7.177021503448486,7.177623389132307,7.065073177014872,7.071393378487838,684507600
2010-04-06,7.208622455596924,7.229687657828379,7.132184555945661,7.1682969051895515,447017200
2010-04-07,7.240520477294922,7.280244135642127,7.182138359554928,7.208921875277468,628502000
2010-04-08,7.2209601402282715,7.268808858544516,7.163481248589745,7.235705941335068,572989200
2010-04-09,7.276330947875977,7.2793411801775445,7.236306751334545,7.2654978080848815,334182800
2010-04-12,7.291379451751709,7.314852196528277,7.2769341912209455,7.28867056360923,333026400
2010-04-13,7.295590400695801,7.306725688603771,7.255866745708812,7.278437862599847,306210800
2010-04-14,7.39369535446167,7.39730666847978,7.344944222388529,7.381357100025964,404076400
2010-04-15,7.490899085998535,7.4942090559213455,7.388279571775949,7.396404627830705,376784800
2010-04-16,7.445156574249268,7.557706801870208,7.359389861454872,7.480365686224217,750545600
2010-04-19,7.435226917266846,7.459903433622905,7.275730380766023,7.434023145562358,566924400
2010-04-20,7.360594272613525,7.500830454104529,7.311541783741212,7.479463909321823,738326400
2010-04-21,7.800862789154053,7.831859503404496,7.695835735020215,7.788223188437353,982391200
2010-04-22,8.01904010772705,8.027466507110002,7.7099786465520355,7.771370181327863,793424800
2010-04-23,8.150247573852539,8.190873649241144,8.034989286152019,8.06478142000274,796955600
2010-04-26,8.110222816467285,8.199299474342899,8.07079971153427,8.18184559556133,479068800
2010-04-27,7.885726451873779,8.060269305034447,7.839984741104637,8.04311596259957,709343600
2010-04-28,7.872486114501953,7.944709998402514,7.716300368440147,7.92214048670062,758402400
2010-04-29,8.084345817565918,8.125272447713796,7.884825080354921,7.915219110044361,558840800
2010-04-30,7.857138633728027,8.142425272800002,7.854430549400593,8.104507270700806,542463600
2010-05-03,8.015426635742188,8.061470475324263,7.911001509038789,7.939892013430823,454342000
2010-05-04,7.784609794616699,7.923341610019603,7.726529844372782,7.9113047018522495,723819600
2010-05-05,7.70366096496582,7.768362483548642,7.48518123952223,7.614584276687873,883103200
2010-05-06,7.410549163818359,7.771671775434678,5.996149388805389,7.638658238637402,1285860800
2010-05-07,7.097876071929932,7.4201790855546434,6.777379519281003,7.334111827391676,1676018400
2010-05-10,7.6434712409973145,7.663333467479242,7.479160476211436,7.5309218386089904,984306400
2010-05-11,7.71960973739624,7.821024661807859,7.538446165856317,7.578770899197833,848906800
2010-05-12,7.8872294425964355,7.918526690220217,7.785212645915452,7.801461949949151,654379600
2010-05-13,7.7749834060668945,7.974804676169313,7.715999399476472,7.92123764194202,599712400
2010-05-14,7.638355731964111,7.718404917599808,7.508351643702874,7.6786812676120615,759362800
2010-05-17,7.650393486022949,7.709377477452184,7.45448412230176,7.6648387419449655,762834800
2010-05-18,7.594423770904541,7.780703063214033,7.531226546175721,7.733456218852976,782678400
2010-05-19,7.473443984985352,7.611272603537879,7.368417737097622,7.50835255392336,1025726800
2010-05-20,7.15505313873291,7.338322890713206,7.108407404871072,7.2790375588030125,1282915200
2010-05-21,7.2922797203063965,7.357883644731045,6.962152293166363,7.006389680194339,1223891200
2010-05-24,7.425894260406494,7.550482170321971,7.410847923814277,7.441543286191415,754238800
2010-05-25,7.379552364349365,7.425895959529735,7.136998034283251,7.202902514377713,1048006400
2010-05-26,7.34614896774292,7.587500358174121,7.335315023067022,7.525808267481834,850654000
2010-05-27,7.62421178817749,7.640462700933564,7.496615243102059,7.541454519217184,666282400
2010-05-28,7.730443477630615,7.8062794719522985,7.62421265593192,7.805978930882105,815614800
2010-06-01,7.849313735961914,8.003091935391712,7.793038621358571,7.815007050360801,876472800
2010-06-02,7.943203926086426,7.968782858478242,7.834264240636347,7.960958345748541,688548000
2010-06-03,7.918226718902588,7.991353815621759,7.836672419589007,7.980218529424491,650106800
2010-06-04,7.702757835388184,7.881513081441887,7.662733638432519,7.770467973229939,758304400
2010-06-07,7.551687717437744,7.798755790367474,7.539950543546073,7.772875506761068,886942000
2010-06-08,7.503233909606934,7.637752504324125,7.392489389996423,7.620899710572653,1000770400
2010-06-09,7.31876277923584,7.580578259281095,7.297397040464219,7.567637313847886,854630000
